b'026,405,-37,-164,898,-1'
b'12,-253,-551,-358,-11,-111,1025,423,-52,-150,889,-1'
b'12,-245,-673,-306,-10,-110,1024,352,2,-170,884,-1'
b'12,-253,-612,-367,-9,-109,1026,380,-6,-161,896,-1'
b'12,-218,-630,-358,-11,-110,1025,411,-32,-153,882,4'
b'12,-288,-656,-315,-9,-110,1026,399,-29,-155,885,-1'
b'12,-306,-603,-350,-10,-111,1026,409,-49,-146,910,-1'
b'12,-288,-656,-332,-10,-111,1024,337,5,-155,914,-1'
b'12,-315,-568,-315,-10,-110,1024,403,-49,-148,914,2'
b'12,-341,-612,-332,-10,-109,1027,396,-28,-160,918,0'
b'12,-236,-595,-332,-10,-110,1024,397,-40,-155,928,-1'
b'12,-227,-621,-341,-8,-112,1026,383,-35,-165,922,-1'
b'12,-236,-682,-350,-11,-110,1025,341,-1,-165,884,-1'
b'12,-315,-586,-358,-10,-110,1026,429,-83,-134,922,-1'
b'12,-218,-621,-332,-11,-111,1026,405,-54,-149,906,2'
b'12,-306,-630,-341,-10,-109,1024,405,-41,-153,904,-1'
b'12,-262,-586,-315,-10,-110,1026,394,-42,-163,907,-1'
b'12,-271,-551,-385,-10,-111,1025,374,-24,-160,921,-1'
b'12,-218,-665,-367,-10,-111,1024,439,-78,-133,898,-1'
b'12,-245,-603,-350,-10,-110,1026,414,-75,-145,905,-1'
b'12,-262,-630,-332,-10,-110,1024,388,-38,-161,930,2'
b'12,-236,-577,-341,-10,-110,1025,386,-38,-159,907,-1'
b'12,-280,-612,-367,-11,-111,1026,369,-32,-163,923,3'
b'12,-315,-595,-350,-11,-111,1024,446,-84,-142,905,-1'
b'12,-271,-560,-367,-9,-111,1024,409,-74,-133,895,-1'
b'12,-315,-630,-306,-10,-109,1026,396,-38,-156,895,-1'
b'12,-253,-603,-323,-9,-110,1025,389,-42,-151,895,-1'
b'12,-288,-603,-358,-10,-110,1025,441,-53,-146,895,-1'
b'12,-288,-621,-385,-9,-112,1023,433,-80,-139,909,1'
b'12,-288,-603,-297,-9,-111,1024,383,-33,-168,899,-1'
b'12,-341,-595,-332,-10,-109,1028,397,-42,-155,896,-1'
b'12,-315,-577,-358,-10,-110,1024,413,-44,-152,928,-1'
b'12,-253,-638,-332,-9,-110,1026,337,1,-163,888,-1'
b'12,-323,-656,-341,-9,-111,1024,383,-20,-169,894,-1'
b'12,-288,-603,-323,-9,-111,1025,401,-48,-146,894,-1'
b'12,-271,-551,-323,-10,-111,1024,395,-46,-158,882,-1'
b'12,-280,-665,-367,-9,-110,1023,404,-44,-160,900,5'
b'12,-245,-577,-323,-10,-109,1025,427,-53,-153,912,2'
b'12,-280,-638,-332,-10,-110,1025,353,5,-170,909,-1'
b'12,-236,-586,-323,-9,-111,1024,403,-39,-144,935,-1'
b'12,-297,-595,-376,-10,-111,1025,388,-39,-154,904,-1'
b'12,-297,-638,-350,-10,-111,1024,405,-47,-150,894,1'
b'12,-271,-525,-323,-9,-110,1025,358,-27,-150,908,-1'
b'12,-262,-656,-350,-10,-111,1025,343,3,-164,910,-1'
b'12,-315,-568,-350,-10,-110,1023,365,-5,-167,906,-1'
b'12,-297,-560,-323,-9,-111,1025,401,-48,-146,910,-1'
b'12,-262,-656,-367,-10,-111,1026,408,-38,-152,911,2'
b'12,-227,-603,-315,-9,-110,1024,400,-34,-154,910,-1'
b'12,-218,-507,-323,-9,-109,1028,359,-21,-149,919,-1'
b'12,-245,-621,-323,-9,-111,1024,424,-76,-128,918,-1'
b'12,-280,-603,-350,-9,-111,1026,388,-32,-152,909,-1'
b'12,-332,-595,-341,-11,-110,1025,397,-36,-148,896,-1'
b'12,-297,-577,-288,-10,-111,1022,388,-37,-163,905,-1'
b'12,-280,-568,-306,-10,-109,1026,450,-74,-154,909,-1'
b'12,-262,-568,-306,-9,-109,1024,441,-85,-144,900,-1'
b'12,-262,-586,-341,-10,-110,1025,391,-28,-159,923,-1'
b'12,-280,-603,-323,-10,-111,1026,405,-42,-158,893,-1'
b'12,-315,-568,-323,-9,-111,1023,369,-39,-160,896,6'
b'12,-280,-612,-297,-10,-110,1025,454,-73,-148,896,0'
b'12,-245,-551,-341,-10,-109,1026,376,-9,-164,920,4'
b'12,-236,-542,-332,-8,-109,1025,397,-44,-160,901,-1'
b'12,-245,-568,-341,-11,-111,1027,401,-40,-143,899,-1'
b'12,-236,-612,-350,-10,-111,1024,375,-32,-158,888,-1'
b'12,-236,-638,-393,-9,-111,1026,343,2,-166,907,-1'
b'12,-271,-525,-341,-11,-111,1027,346,6,-171,889,-1'
b'12,-227,-560,-323,-8,-110,1027,406,-47,-133,898,2'
b'12,-271,-673,-306,-10,-108,1027,399,-38,-159,903,-1'
b'12,-236,-638,-323,-9,-111,1025,392,-43,-147,903,5'
b'12,-227,-586,-350,-10,-111,1026,450,-65,-137,896,-1'
b'12,-245,-647,-341,-10,-110,1026,457,-79,-142,890,-1'
